tile_name,reason
USGS_LPC_OR_WesternWildfires_A22_s05280w13680.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13710.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13920.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13950.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w14280.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w14310.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05310w13830.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05310w13860.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05310w13890.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05310w13920.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05310w14280.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05310w14310.laz,low_or_unknown_slido_overlap_only
