left_id,right_id,left_project,right_project,iou,smaller_overlap,left_overlap,right_overlap,intersection_area,left_area,right_area,area_ratio_small_to_large
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04410w13950,USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_001869,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5373542237063659,0.9727933070768101,0.9727933070768101,0.5455530720538918,0.00010142478640338433,0.00010426139413742492,0.00018591186009005777,0.5608108814947016
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05220w13320,USGS Lidar Point Cloud OR_COAST_CENTRAL_OLC_2011_2012 OR_Coast_Central_OLC_2011-2012_000733,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5366711907235402,0.9716068014824237,0.9716068014824237,0.545221964130998,0.00010028663826320639,0.0001032173077732624,0.00018393726749994059,0.561154947967767
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04740w13380,USGS Lidar Point Cloud OR_COAST_CENTRAL_OLC_2011_2012 OR_Coast_Central_OLC_2011-2012_000924,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5359098779403136,0.9709790660163834,0.9709790660163834,0.5446335161167196,0.00010066582415771733,0.00010367455662120195,0.0001848322241999954,0.560911697459325
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05280w13950,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000265,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5353119627533064,0.9669095943275138,0.9669095943275138,0.5453018395775676,0.00010005993840658373,0.00010348427504866727,0.00018349459170007165,0.5639636247035332
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05130w13320,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000392,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5352263571664194,0.9701752404541174,0.9701752404541174,0.5441801481210317,0.00010021651690073782,0.00010329733508126708,0.00018416055279996832,0.5609091279904371
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04860w13980,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000595,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5348416161572401,0.9696267544810416,0.9696267544810416,0.5439548957135463,0.00010072013737392548,0.00010387516320940666,0.00018516266360982624,0.56099410747456
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04620w14220,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000640,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5347510619947653,0.964682238934623,0.964682238934623,0.5454292850733635,0.00010053259314065045,0.00010421316894118084,0.00018431829000001022,0.5653978720243936
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04890w13920,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000601,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5341599440749083,0.9687875539230436,0.9687875539230436,0.5435135911768275,0.00010057719967831847,0.00010381760094980318,0.0001850500177199737,0.5610245393594331
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05160w13320,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000393,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5340984332692628,0.877034916472798,0.877034916472798,0.5773310093125489,9.057197740649646e-05,0.00010327066312337136,0.0001568805000000678,0.6582759687999894
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04950w13650,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000642,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5325096758213471,0.9668617866694071,0.9668617866694071,0.5424093143125024,0.00010019189236779838,0.00010362586850488109,0.000184716393550119,0.5609998469181045
