split,category,channel,patch_statistic,count,min,p10,p25,median,p75,p90,max,mean,std
validation,negative,aspect_sin,std,40,0.3786907558793388,0.4483390588528462,0.5075102470729488,0.6079283911696256,0.6652770837543787,0.7447802491705026,0.7734079782738503,0.5945890197257416,0.11005342720203488
validation,negative,aspect_sin,p10,40,-0.99560546875,-0.9869140625,-0.967041015625,-0.943359375,-0.561553955078125,-0.12933349609374997,0.1365966796875,-0.7425531387329102,0.3421117170160444
validation,negative,aspect_sin,median,40,-0.85546875,-0.6588867187499999,-0.2110595703125,0.0,0.57763671875,0.7112060546875001,0.84716796875,0.06838569641113282,0.49377929202933907
validation,negative,aspect_sin,p90,40,-0.17083740234375,0.41865234375000004,0.8050537109375,0.95751953125,0.9833984375,0.990869140625,0.99560546875,0.8270736694335937,0.2708998736071527
validation,negative,curvature,mean,40,-0.004080578692082781,-0.0019433858618867815,-0.0010930372259281285,-6.35803830846271e-05,0.0009724304807150475,0.002846056218368177,0.003952834034862462,0.00015963447356170946,0.0018213883233694564
validation,negative,curvature,std,40,0.07969163362641211,0.10106861193843879,0.15582535866757058,0.23716492487076563,0.2887068465728673,0.3271762857728072,0.39349881027449857,0.2264968670599345,0.08520255651455678
validation,negative,curvature,p10,40,-0.427978515625,-0.359814453125,-0.299285888671875,-0.24822998046875,-0.137908935546875,-0.05699920654296874,-0.032135009765625,-0.22591400146484375,0.10543101858808955
validation,negative,curvature,median,40,-0.0032482147216796875,-0.0009278297424316406,-0.00011995434761047363,0.0012835264205932617,0.003413677215576172,0.006708908081054689,0.009944915771484375,0.001974532753229141,0.0032068449335689027
validation,negative,curvature,p90,40,0.030914306640625,0.0593231201171875,0.1325225830078125,0.240020751953125,0.291168212890625,0.35170898437500003,0.423828125,0.22130851745605468,0.10353787338217131
validation,negative,local_relief,mean,40,-1.5088329743593931,-1.213817340368405,-0.4765833969868254,0.022153778714709915,0.6081981137394905,0.8284256128594281,1.659764894284308,-0.0537486455978069,0.7725107871576761
validation,negative,local_relief,std,40,1.2750760258687033,1.5300255460320167,3.207637619386058,4.059739511865142,4.64337895057771,5.29165577902252,6.708972643352664,3.808629485978127,1.3756417189683547
validation,negative,local_relief,p10,40,-11.0546875,-8.4453125,-5.92626953125,-4.361328125,-3.460205078125,-1.5712890624999998,-0.65966796875,-4.84539794921875,2.6218134218959683
validation,negative,local_relief,median,40,-1.8251953125,-0.48980712890624994,-0.263458251953125,0.0468902587890625,0.78253173828125,0.9755126953125005,1.6513671875,0.1468130111694336,0.7675190382479353
validation,negative,local_relief,p90,40,1.033203125,1.4671875,3.43017578125,4.8935546875,5.64013671875,6.1546875000000005,7.7109375,4.4175048828125,1.7834132258138704
validation,negative,multidirectional_hillshade,mean,40,193.66568183898926,198.08578643798828,201.19905710220337,204.70241928100586,209.94868755340576,215.51846446990967,216.2551498413086,205.76870064735414,6.27417523885136
validation,negative,multidirectional_hillshade,std,40,4.602812425752961,5.608193322795789,9.339293893204204,11.787263277374366,13.721347482264509,14.05301262531905,15.433965343009348,11.122255832295007,3.123351472091345
validation,negative,multidirectional_hillshade,p10,40,172.625,178.2,181.625,188.9375,197.65625,212.5625,216.25,191.259375,12.128104869862192
validation,negative,multidirectional_hillshade,median,40,195.25,200.2375,204.34375,208.3125,213.6875,217.5125,217.625,208.659375,6.358802185504358
validation,negative,multidirectional_hillshade,p90,40,213.0,214.225,215.84375,216.875,217.5,217.625,217.625,216.44375,1.2872420858175824
validation,negative,slope_degrees,mean,40,5.121437172463629,6.924784732417902,20.042882195150014,27.2592568336986,31.876692416131846,35.41100167413242,40.1551741452422,24.690757992283032,9.931529658040402
validation,negative,slope_degrees,std,40,8.754445821879782,9.700978553616444,13.709886083597079,14.79995795171039,16.10116146395699,16.286082306908146,17.035433310172913,14.118336242310079,2.3553785066256694
validation,negative,slope_degrees,p10,40,0.0,0.78017578125,3.475830078125,7.8046875,11.4052734375,15.939843750000001,18.5,7.845686340332032,5.237638982783432
validation,negative,slope_degrees,median,40,2.373046875,2.8072265625,16.9931640625,26.328125,31.515625,36.196875,41.34375,23.301220703125,11.396224746061048
validation,negative,slope_degrees,p90,40,10.33984375,19.30078125,38.921875,47.046875,53.078125,55.784375,60.0,43.28916015625,13.231787735251842
validation,negative,tri,mean,40,0.13789422007175745,0.1821314846893074,0.5197739907612231,0.7724401839559505,0.9368395773703924,1.0737088473225413,1.2992239205632359,0.7060266984970894,0.3152558451170315
validation,negative,tri,std,40,0.24060170459963987,0.2845370042866118,0.41174217737049423,0.5630768919479704,0.6483886725752428,0.6817537308701161,0.8236764728926373,0.5229542281831547,0.1537184917131538
validation,negative,tri,p10,40,1.3709068298339844e-06,0.0238037109375,0.09033203125,0.20794677734375,0.29046630859375,0.42763671875000003,0.51123046875,0.2115771159529686,0.14298243117494647
validation,negative,tri,median,40,0.05511474609375,0.068743896484375,0.406402587890625,0.6630859375,0.8126220703125,0.96953125,1.1630859375,0.5965835571289062,0.311059944996774
validation,negative,tri,p90,40,0.256591796875,0.47564697265625,1.025390625,1.3515625,1.6734619140625,1.850390625,2.17578125,1.2974395751953125,0.4957811336952257
validation,positive_boundary,aspect_cos,mean,7,0.4423104674424394,0.46443751863971555,0.4869891101279791,0.5396758669994597,0.5564678649470807,0.6045026180574496,0.6576460202750241,0.5323637578381489,0.06500323167906222
validation,positive_boundary,aspect_cos,std,7,0.4737090118017089,0.48649581313199786,0.5059541122571986,0.5293432537407445,0.5375010797420179,0.5475479309337571,0.5606805766485369,0.5215204608842033,0.02704086823012418
validation,positive_boundary,aspect_cos,p10,7,-0.453125,-0.4020751953125,-0.35797119140625,-0.3385009765625,-0.2403564453125,-0.13580322265624994,-0.022003173828125,-0.28718348911830355,0.12914371072175526
validation,positive_boundary,aspect_cos,median,7,0.6513671875,0.66630859375,0.687744140625,0.7236328125,0.77734375,0.81689453125,0.86376953125,0.7384207589285714,0.06769332040601111
validation,positive_boundary,aspect_cos,p90,7,0.9892578125,0.99013671875,0.990966796875,0.99169921875,0.992919921875,0.9947265625,0.99560546875,0.9920479910714286,0.001982794420138378
validation,positive_boundary,aspect_sin,mean,7,-0.3764571033334505,-0.3282955143296931,-0.24913768103169787,-0.14911739165472682,-0.06919920927248313,-0.012869304680680194,0.021857798167729925,-0.16291292534697277,0.13038111300096739
validation,positive_boundary,aspect_sin,std,7,0.5767340885079474,0.5847856112014714,0.6062251979142937,0.628059580358012,0.6447130989328613,0.666946282699942,0.691942576017314,0.6283732626539404,0.035459139185001584
