mask,tp_plain,fp_plain,fn_plain,tn_plain,precision_plain,recall_plain,f1_plain,iou_plain,gt_positive_fraction_plain,pred_positive_fraction_plain,tp_efficientnet,fp_efficientnet,fn_efficientnet,tn_efficientnet,precision_efficientnet,recall_efficientnet,f1_efficientnet,iou_efficientnet,gt_positive_fraction_efficientnet,pred_positive_fraction_efficientnet,f1_change,precision_change,recall_change,iou_change,fp_change,fn_change,pred_positive_fraction_change
mask_66.h5,40,71,31,16242,0.36036036036036034,0.5633802816901409,0.43956043956043955,0.28169014084507044,0.00433349609375,0.00677490234375,34,83,37,16230,0.2905982905982906,0.4788732394366197,0.3617021276595745,0.22077922077922077,0.00433349609375,0.00714111328125,-0.07785831190086506,-0.06976206976206972,-0.08450704225352118,-0.060910920065849666,12,6,0.0003662109375
mask_67.h5,0,333,0,16051,0.0,,0.0,0.0,0.0,0.02032470703125,0,349,0,16035,0.0,,0.0,0.0,0.0,0.02130126953125,0.0,0.0,,0.0,16,0,0.0009765625
mask_68.h5,0,5,0,16379,0.0,,0.0,0.0,0.0,0.00030517578125,0,0,0,16384,,,,,0.0,0.0,,,,,-5,0,-0.00030517578125
mask_69.h5,6,59,13,16306,0.09230769230769231,0.3157894736842105,0.14285714285714285,0.07692307692307693,0.00115966796875,0.00396728515625,5,30,14,16335,0.14285714285714285,0.2631578947368421,0.18518518518518517,0.10204081632653061,0.00115966796875,0.00213623046875,0.042328042328042326,0.050549450549450536,-0.05263157894736842,0.025117739403453687,-29,1,-0.0018310546875
mask_70.h5,0,2,0,16382,0.0,,0.0,0.0,0.0,0.0001220703125,0,0,0,16384,,,,,0.0,0.0,,,,,-2,0,-0.0001220703125
mask_71.h5,0,0,0,16384,,,,,0.0,0.0,0,0,0,16384,,,,,0.0,0.0,,,,,0,0,0.0
mask_72.h5,10,163,25,16186,0.057803468208092484,0.2857142857142857,0.09615384615384616,0.050505050505050504,0.00213623046875,0.01055908203125,28,42,7,16307,0.4,0.8,0.5333333333333333,0.36363636363636365,0.00213623046875,0.0042724609375,0.4371794871794872,0.34219653179190757,0.5142857142857143,0.31313131313131315,-121,-18,-0.00628662109375
mask_73.h5,32,2,13,16337,0.9411764705882353,0.7111111111111111,0.810126582278481,0.6808510638297872,0.00274658203125,0.0020751953125,26,1,19,16338,0.9629629629629629,0.5777777777777777,0.7222222222222222,0.5652173913043478,0.00274658203125,0.00164794921875,-0.08790436005625879,0.02178649237472763,-0.13333333333333341,-0.11563367252543943,-1,6,-0.00042724609375
mask_74.h5,36,10,24,16314,0.782608695652174,0.6,0.6792452830188679,0.5142857142857142,0.003662109375,0.0028076171875,36,10,24,16314,0.782608695652174,0.6,0.6792452830188679,0.5142857142857142,0.003662109375,0.0028076171875,0.0,0.0,0.0,0.0,0,0,0.0
mask_75.h5,365,378,401,15240,0.49125168236877526,0.4765013054830287,0.48376408217362493,0.31905594405594406,0.0467529296875,0.04534912109375,267,197,499,15421,0.5754310344827587,0.34856396866840733,0.43414634146341463,0.2772585669781931,0.0467529296875,0.0283203125,-0.0496177407102103,0.08417935211398342,-0.12793733681462138,-0.04179737707775094,-181,98,-0.01702880859375
mask_76.h5,0,3,0,16381,0.0,,0.0,0.0,0.0,0.00018310546875,0,0,0,16384,,,,,0.0,0.0,,,,,-3,0,-0.00018310546875
mask_77.h5,9,7,388,15980,0.5625,0.022670025188916875,0.043583535108958835,0.022277227722772276,0.02423095703125,0.0009765625,98,204,299,15783,0.32450331125827814,0.24685138539042822,0.2804005722460658,0.16306156405990016,0.02423095703125,0.0184326171875,0.23681703713710694,-0.23799668874172186,0.22418136020151136,0.1407843363371279,197,-89,0.0174560546875
mask_78.h5,0,7,0,16377,0.0,,0.0,0.0,0.0,0.00042724609375,0,21,0,16363,0.0,,0.0,0.0,0.0,0.00128173828125,0.0,0.0,,0.0,14,0,0.0008544921875
mask_79.h5,500,131,86,15667,0.7923930269413629,0.8532423208191127,0.8216926869350862,0.697350069735007,0.0357666015625,0.03851318359375,459,80,127,15718,0.8515769944341373,0.7832764505119454,0.816,0.6891891891891891,0.0357666015625,0.03289794921875,-0.0056926869350862885,0.059183967492774325,-0.06996587030716728,-0.008160880545817872,-51,41,-0.005615234375
mask_80.h5,1720,915,118,13631,0.6527514231499051,0.9357997823721437,0.7690587972278113,0.624772974936433,0.1121826171875,0.16082763671875,1612,777,226,13769,0.6747593135203014,0.8770402611534276,0.7627158741424178,0.6164435946462715,0.1121826171875,0.14581298828125,-0.006342923085393526,0.0220078903703963,-0.05875952121871608,-0.008329380290161503,-138,108,-0.0150146484375
mask_81.h5,209,21,83,16071,0.908695652173913,0.7157534246575342,0.8007662835249042,0.6677316293929713,0.017822265625,0.0140380859375,219,17,73,16075,0.9279661016949152,0.75,0.8295454545454546,0.7087378640776699,0.017822265625,0.014404296875,0.028779171020550387,0.01927044952100221,0.03424657534246578,0.04100623468469866,-4,-10,0.0003662109375
mask_82.h5,0,0,0,16384,,,,,0.0,0.0,0,0,0,16384,,,,,0.0,0.0,,,,,0,0,0.0
mask_83.h5,492,205,146,15541,0.7058823529411765,0.7711598746081505,0.7370786516853932,0.5836298932384342,0.0389404296875,0.04254150390625,374,141,264,15605,0.7262135922330097,0.5862068965517241,0.6487424111014745,0.48010269576379977,0.0389404296875,0.03143310546875,-0.08833624058391876,0.020331239291833225,-0.1849529780564264,-0.1035271974746344,-64,118,-0.0111083984375
mask_84.h5,0,0,0,16384,,,,,0.0,0.0,0,0,0,16384,,,,,0.0,0.0,,,,,0,0,0.0
mask_85.h5,4,44,8,16328,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.07142857142857142,0.000732421875,0.0029296875,0,29,12,16343,0.0,0.0,0.0,0.0,0.000732421875,0.00177001953125,-0.13333333333333333,-0.08333333333333333,-0.3333333333333333,-0.07142857142857142,-15,4,-0.00115966796875
mask_86.h5,0,0,0,16384,,,,,0.0,0.0,0,0,0,16384,,,,,0.0,0.0,,,,,0,0,0.0
mask_87.h5,0,891,0,15493,0.0,,0.0,0.0,0.0,0.05438232421875,0,168,0,16216,0.0,,0.0,0.0,0.0,0.01025390625,0.0,0.0,,0.0,-723,0,-0.04412841796875
mask_88.h5,0,0,0,16384,,,,,0.0,0.0,0,0,0,16384,,,,,0.0,0.0,,,,,0,0,0.0
mask_89.h5,285,107,34,15958,0.7270408163265306,0.8934169278996865,0.8016877637130801,0.6690140845070423,0.01947021484375,0.02392578125,278,89,41,15976,0.7574931880108992,0.8714733542319749,0.8104956268221575,0.6813725490196079,0.01947021484375,0.02239990234375,0.00880786310907733,0.03045237168436854,-0.021943573667711602,0.012358464512565615,-18,7,-0.00152587890625
