group_by,split,metric,count,min,p10,p25,median,p75,p90,max,mean,std
split+category,validation,ground_fraction,7,0.208160400390625,0.21121826171875,0.2140655517578125,0.2411956787109375,0.269134521484375,0.2970947265625,0.309051513671875,0.24640110560825892,0.036527374262112236
split+category,validation,mean_slope_degrees,7,12.189247131347656,14.298547744750977,18.05610466003418,21.437726974487305,25.03918743133545,28.277474594116214,30.125259399414062,21.42040252685547,5.718723064767428
split+category,validation,distance_to_positive_m,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,validation,boundary_pixel_fraction,7,0.00141906738281,0.0018310546874960002,0.0021209716796850003,0.00236511230469,0.00244903564453,0.0028930664062500003,0.00347900390625,0.002343314034597143,0.0005696985290159123
split+category,validation,boundary_of_positive_fraction,7,0.0359338061466,0.04867343960862,0.0572846993634,0.083065380493,0.1129322479065,0.13383113673480002,0.146318732526,0.08653597338648573,0.03697032283380677
split+category,validation,positive_fraction,7,0.149261474609,0.1600738525388,0.17041015625,0.195983886719,0.375099182129,0.47125549316420007,0.547592163086,0.2834080287388572,0.14237804540760812
split+category,validation,ignore_fraction,7,0.104858398438,0.17160949707040002,0.2844314575195,0.579635620117,0.663513183594,0.7326965332032,0.832717895508,0.48758588518428575,0.24723093998406964
split+category,validation,ground_fraction,7,0.2123870849609375,0.213330078125,0.215087890625,0.2284088134765625,0.246307373046875,0.2531951904296875,0.2609405517578125,0.23207528250558035,0.017828611215236705
split+category,validation,mean_slope_degrees,7,16.53152847290039,19.818434143066405,22.105249404907227,24.331806182861328,24.369338035583496,25.96418609619141,28.353361129760742,23.1665529523577,3.326274718172579
split+category,validation,distance_to_positive_m,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,validation,boundary_pixel_fraction,7,0.00323486328125,0.004580688476564,0.006233215332029999,0.00741577148438,0.008918762207030001,0.010153198242184,0.0109405517578,0.007413591657364285,0.00237145944023451
split+category,validation,boundary_of_positive_fraction,7,0.0176412936949,0.01904414530978,0.020825919669700002,0.0291913397483,0.034202592151,0.040317212251500006,0.047305020663,0.02917066824965714,0.009690683455694148
split+coverage_class,train,positive_fraction,18,0.991012573242,0.9922683715824,0.997871398926,0.9998931884765,1.0,1.0,1.0,0.9979426066081112,0.00321707744356754
split+coverage_class,train,ignore_fraction,18,0.0,0.0,0.0,0.0001068115234375,0.0021286010742200003,0.007731628417967,0.00898742675781,0.0020573933919269447,0.003217077443681718
split+coverage_class,train,ground_fraction,18,0.207183837890625,0.2155487060546875,0.21941375732421875,0.231231689453125,0.2614555358886719,0.29712066650390623,0.3447723388671875,0.24664306640625,0.03606835370743031
split+coverage_class,train,mean_slope_degrees,18,11.722826957702637,13.870254802703858,17.925789833068848,19.13809585571289,21.621822357177734,24.38338088989258,33.997833251953125,19.719756444295246,5.057397274684418
split+coverage_class,train,distance_to_positive_m,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+coverage_class,train,boundary_pixel_fraction,18,0.0,0.0,0.0,8.3923339844e-05,0.000579833984375,0.001062011718749,0.00146484375,0.0003551907009546111,0.0004682900446927951
split+coverage_class,train,boundary_of_positive_fraction,18,0.0,0.0,0.0,8.3941271634e-05,0.0005811031628145,0.0010702886848859999,0.00147812832001,0.00035740554817200007,0.0004720755557522228
split+coverage_class,train,positive_fraction,42,0.010009765625,0.01564025878905,0.024677276611325,0.042991638183599995,0.058467864990274995,0.08546752929685,0.0931549072266,0.04513150169735953,0.02468644692737434
split+coverage_class,train,ignore_fraction,42,0.0455474853516,0.060649108886760006,0.075946807861325,0.0894775390625,0.13209152221700002,0.9283416748047996,0.983810424805,0.21370333716987147,0.2938608032016865
split+coverage_class,train,ground_fraction,42,0.2076873779296875,0.2090423583984375,0.21729278564453125,0.2368011474609375,0.2616462707519531,0.28919219970703125,0.30517578125,0.24231138683500744,0.02965267184770003
split+coverage_class,train,mean_slope_degrees,42,10.21092414855957,13.112643241882324,19.21140480041504,24.52661895751953,28.498103618621826,32.51643371582031,36.0598258972168,24.00415238879976,6.9162215917414125
